Error;Operacao;Nome;Data;Hora;usuario
;Isercao de usuario;javax.swing.JTextField[,133,64,143x20,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@d959413,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING];20/JULY/2023;18:49:35;null
;Isercao de usuario;matheus;20/JULY/2023;19:2:49;null
;Isercao de usuario;matheus;20/JULY/2023;19:2:55;null
;Isercao de usuario;matheus;20/JULY/2023;19:3:1;null
;Isercao de usuario;matheus;20/JULY/2023;19:3:6;null
[SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: usuario.tx_login);Isercao de usuario;matheus;20/JULY/2023;19:3:18;null
;Isercao de usuario;matheus;20/JULY/2023;19:3:28;null
[SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: usuario.tx_login);Isercao de usuario;matheus;20/JULY/2023;19:3:39;null
[SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: usuario.tx_login);Isercao de usuario;matheus;20/JULY/2023;19:3:52;null
[SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: usuario.tx_login);Isercao de usuario;matheus;20/JULY/2023;19:3:56;null
Cannot invoke ""java.util.Collection.toArray()"" because ""c"" is null;Isercao de usuario;Matheus;20/JULY/2023;19:5:55;null
Cannot invoke ""java.util.Collection.toArray()"" because ""c"" is null;Isercao de usuario;Matheus;20/JULY/2023;19:7:18;null
;Isercao de usuario;mateh8ussd;20/JULY/2023;19:10:23;null
;Isercao de usuario;mateh8ussd;20/JULY/2023;19:11:9;null
;Isercao de usuario;Matheus;20/JULY/2023;19:13:31;null
